name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Ancient Warfare 3,26-01-2024,51499,13.39,387300.0,30.295830170722663,95,Indie,Jannik Nickel,Jannik Nickel,758990
Mech Engineer,21-05-2024,33261,15.39,386128.0,14.715389523377375,76,Indie,MicroProse Software,KiberKreker,1428520
Knightly Passions,26-04-2024,38551,12.39,384939.0,8.01276168996395,92,Indie,FEYADA,FEYADA,1554260
LoveCraft,09-04-2024,17668,0.0,382551.0,61.80570131947321,79,Indie,WEALTHBIRD,WEALTHBIRD,2692440
SunnySide,14-06-2024,16881,30.39.00,381290.0,27.80376143819145,71,Indie,"Merge Games,Maximum Entertainment",RainyGames,1746930
Beltmatic,29-03-2024,62742,07.39,381263.0,11.198090277602097,93,Indie,Notional Games,Notional Games,2674590
Dicefolk,27-02-2024,31466,15.39,380842.0,13.233308403295124,90,AA,Good Shepherd Entertainment,"LEAP Game Studios,Tiny Ghoul",1996430
Snezhinka:Sentinel Girls2,26-08-2024,57593,08.39,378779.0,4.930358135271555,97,Indie,hinyari9,hinyari9,2608350
Garten of Banban 7,10-05-2024,42078,10.39,378109.0,4.023750790547608,83,Indie,Euphoric Brothers,Euphoric Brothers,2693060
Anomaly Agent,24-01-2024,57981,12.39,375083.0,10.02888096448273,97,Indie,"Phew Phew Games,GameDev.ist",Phew Phew Games,2378620
Withering Rooms,05-04-2024,17777,25.39.00,373115.0,18.018266950413388,98,Indie,Perp Games,Moonless Formless,2006140
Clothing Store Simulator,17-06-2024,36906,13.39,372353.0,17.46639916897099,94,Indie,Kiki Games,Kiki Games,2923390
Sketchy's Contract,09-04-2024,51018,09.39,367697.0,10.275375648935109,83,Indie,Dimensionless Games,Dimensionless Games,2823080
Dealer Simulator,29-01-2024,29327,14.39,366870.0,10.789308195923498,68,Indie,Quadfix Games,Quadfix Games,2625620
First Cut: Samurai Duel,17-01-2024,46699,09.39,366211.0,4.945140092145561,88,Indie,Night Eyes Interactive,Night Eyes Interactive,2193490
Godsworn,28-03-2024,14834,30.39.00,365999.0,7.333360562268755,93,Indie,Thunderoak Interactive,Thunderoak Interactive,1328990
Dungeons of Hinterberg,18-07-2024,15320,30.39.00,365533.0,10.238644949560896,94,AA,Curve Games,Microbird Games,1983260
Seablip,17-05-2024,28789,15.39,361489.0,6.631394402038207,0,Indie,Vibedy,Jardar Solli,1471270
Tomorrow's Love Puzzle,25-01-2024,40360,10.39,357315.0,4.02736735920015,72,Indie,"柚元(上海)文化传媒有限公司,优酷视频",柚元(上海)文化传媒有限公司,2726890
Grim Clicker,30-01-2024,274957,0.0,355113.9777668873,122.75703853781792,80,Indie,"EvilCharm Games,Aleksandr Golovkin",EvilCharm Games,1160750
Republic of Pirates,19-06-2024,16799,25.39.00,353044.0,10.567625186740496,78,Indie,PQube,Crazy Goat Games,2103470
NUKITASHI 2,15-02-2024,22206,25.39.00,348104.0,16.60275279441949,0,Indie,Shiravune,Qruppo,2614070
Internet Cafe & Supermarket Simulator 2024,16-05-2024,27902,15.39,347352.0,15.353030320444184,87,Indie,SmartPlayGames,SmartPlayGames,2738380
